;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Código;Nombre de Comuna;Hombre;Mujer;Total;;;;;
;6302;Chépica;   7 737;   7 931;   15 668;;;;;
;6303;Chimbarongo;   18 467;   18 791;   37 258;;;;;
;6304;Lolol;   3 926;   3 865;   7 791;;;;;
;6305;Nancagua;   9 222;   9 501;   18 723;;;;;
;6306;Palmilla;   6 547;   6 513;   13 060;;;;;
;6307;Peralillo;   6 211;   6 282;   12 493;;;;;
;6308;Placilla;   4 739;   4 699;   9 438;;;;;
;6309;Pumanque;   2 299;   2 260;   4 559;;;;;
;6310;Santa Cruz;   20 037;   21 172;   41 209;;;;;
;7101;Talca;   110 996;   121 135;   232 131;;;;;
;7102;Constitución;   23 154;   23 850;   47 004;;;;;
;7103;Curepto;   4 876;   4 643;   9 519;;;;;
;7104;Empedrado;   2 046;   1 944;   3 990;;;;;
;7105;Maule;   29 505;   31 576;   61 081;;;;;
;7106;Pelarco;   4 592;   4 637;   9 229;;;;;
;7107;Pencahue;   4 641;   4 540;   9 181;;;;;
;7108;Río Claro;   7 195;   7 081;   14 276;;;;;
;7109;San Clemente;   23 424;   23 956;   47 380;;;;;
;7110;San Rafael;   5 552;   5 678;   11 230;;;;;
;7201;Cauquenes;   20 295;   22 503;   42 798;;;;;
;7202;Chanco;   4 698;   4 748;   9 446;;;;;
;7203;Pelluhue;   4 158;   4 420;   8 578;;;;;
;7301;Curicó;   77 105;   82 863;   159 968;;;;;
;7302;Hualañé;   5 392;   5 383;   10 775;;;;;
;7303;Licantén;   3 372;   3 520;   6 892;;;;;
;7304;Molina;   23 906;   25 043;   48 949;;;;;
;7305;Rauco;   5 613;   5 653;   11 266;;;;;
;7306;Romeral;   8 448;   8 785;   17 233;;;;;
;7307;Sagrada Familia;   9 751;   9 676;   19 427;;;;;
;7308;Teno;   14 982;   15 131;   30 113;;;;;
;7309;Vichuquén;   2 426;   2 290;   4 716;;;;;
;7401;Linares;   46 158;   50 586;   96 744;;;;;
;7402;Colbún;   11 087;   11 550;   22 637;;;;;
;7403;Longaví;   16 598;   16 701;   33 299;;;;;
;7404;Parral;   21 848;   23 475;   45 323;;;;;
;7405;Retiro;   11 082;   11 228;   22 310;;;;;
;7406;San Javier;   23 732;   25 827;   49 559;;;;;
;7407;Villa Alegre;   8 616;   9 303;   17 919;;;;;
;7408;Yerbas Buenas;   10 007;   10 028;   20 035;;;;;
;8101;Concepción;   110 985;   119 390;   230 375;;;;;
;8102;Coronel;   59 274;   64 374;   123 648;;;;;
;8103;Chiguayante;   40 464;   45 358;   85 822;;;;;
;8104;Florida;   6 455;   6 503;   12 958;;;;;
;8105;Hualqui;   12 388;   13 407;   25 795;;;;;
;8106;Lota;   19 342;   20 638;   39 980;;;;;
;8107;Penco;   23 370;   25 601;   48 971;;;;;
;8108;San Pedro de La paz;   72 262;   78 730;   150 992;;;;;
;8109;Santa Juana;   7 203;   7 744;   14 947;;;;;
;8110;Talcahuano;   70 548;   76 774;   147 322;;;;;
;8111;Tomé;   26 964;   29 943;   56 907;;;;;
;8112;Hualpén;   41 521;   46 210;   87 731;;;;;
;8201;Lebu;   12 333;   12 913;   25 246;;;;;
;8202;Arauco;   18 128;   19 035;   37 163;;;;;
;8203;Cañete;   16 602;   18 038;   34 640;;;;;
;8204;Contulmo;   2 925;   2 980;   5 905;;;;;
;8205;Curanilahue;   15 127;   15 992;   31 119;;;;;
;8206;Los Álamos;   10 581;   11 369;   21 950;;;;;
;8207;Tirúa;   5 023;   5 185;   10 208;;;;;
;8301;Los Ángeles;   105 436;   114 005;   219 441;;;;;
;8302;Antuco;   2 125;   2 248;   4 373;;;;;
;8303;Cabrero;   15 264;   15 992;   31 256;;;;;
;8304;Laja;   11 451;   12 255;   23 706;;;;;
;8305;Mulchén;   14 093;   14 943;   29 036;;;;;
;8306;Nacimiento;   12 790;   13 350;   26 140;;;;;
;8307;Negrete;   5 273;   5 450;   10 723;;;;;
;8308;Quilaco;   2 210;   2 230;   4 440;;;;;
;8309;Quilleco;   4 826;   4 874;   9 700;;;;;
;8310;San Rosendo;   1 753;   1 822;   3 575;;;;;
;8311;Santa Bárbara;   6 847;   7 228;   14 075;;;;;
;8312;Tucapel;   7 568;   8 161;   15 729;;;;;
;8313;Yumbel;   11 359;   11 811;   23 170;;;;;
;8314;Alto Biobío;   3 005;   3 011;   6 016;;;;;
;9101;Temuco;   138 163;   154 355;   292 518;;;;;
;9102;Carahue;   12 208;   12 749;   24 957;;;;;
;9103;Cunco;   9 368;   9 809;   19 177;;;;;
;9104;Curarrehue;   3 901;   3 832;   7 733;;;;;
;9105;Freire;   13 029;   13 135;   26 164;;;;;
;9106;Galvarino;   6 360;   6 350;   12 710;;;;;
;9107;Gorbea;   6 778;   7 370;   14 148;;;;;
;9108;Lautaro;   20 197;   21 739;   41 936;;;;;
;9109;Loncoche;   12 201;   12 957;   25 158;;;;;
;9110;Melipeuco;   3 342;   3 454;   6 796;;;;;
;9111;Nueva Imperial;   16 546;   17 442;   33 988;;;;;
